estado,regiao,ano,leitos_disponiveis,internacoes,procedimentos_realizados,valor_total_reais
Sao Paulo,Sudeste,2023,45000,1200000,3400000,850000000
Rio de Janeiro,Sudeste,2023,22000,650000,1800000,420000000
Minas Gerais,Sudeste,2023,25000,700000,1950000,460000000
Bahia,Nordeste,2023,15000,420000,1150000,270000000
Parana,Sul,2023,18000,480000,1300000,310000000
Rio Grande do Sul,Sul,2023,17000,460000,1250000,300000000
Pernambuco,Nordeste,2023,13000,350000,980000,230000000
Ceara,Nordeste,2023,12000,320000,890000,210000000
Para,Norte,2023,9000,240000,650000,150000000
Amazonas,Norte,2023,7000,180000,480000,110000000
Goias,Centro-Oeste,2023,11000,290000,800000,190000000
Santa Catarina,Sul,2023,14000,370000,1020000,240000000
Espirito Santo,Sudeste,2023,8000,210000,560000,130000000
Distrito Federal,Centro-Oeste,2023,6500,170000,470000,105000000
Maranhao,Nordeste,2023,8500,220000,600000,140000000
